Suggested CAPA,Type,CMMI Category
pl should find reasons for time constraints and should talk with pm to see if the estimated effort has to be relooked for sufficiency,Preventive,Process and Product Quality Assurance
pm/quality team can cross check if pl is doing the code review or not.,Preventive,Process and Product Quality Assurance
quality team can do audits / checks to see if review is done formally.,Preventive,Process and Product Quality Assurance
training should have been provided before the development starts.,Preventive,Process and Product Quality Assurance
the ba should run-through all possible scenarios of the actual business to the test team so that the testers can build a strong test case base for the project,Preventive,Validation
"space restrictions, if any, should be handled by pm and client mutually.",Preventive,Validation
"while planning the project, the pm should decide (along with the client) how these tests can be performed testers with expertise in such type of testing can be used from other teams in the organization",Preventive,Verification
proper planning should be done before start of sdlc activities.,Preventive,Integrated Project Management
"a new integrated software testing technique needs to be developed, which would quickly validate the application under test and ensure 100% coverage while upgrading the software. this can be done by having a test suite having minimal test cases ensuring maximum coverage.",Corrective,Technical Solution
reduce or avoid cyclic dependencies in depelopment stage,Corrective,Technical Solution
"use a traceability matrix, to trace each functional requirement till source code level.",Preventive,Requirements Developments
trace the code to be released for testing after a formal review of the updated traceability matrix for each requirement. ,Preventive,Requirements Developments
an independent review of the traceability matrix by the quality team should be mandated.,Preventive,Requirements Developments
"before commencing with the actual coding, developers should document the program specification for each source code and it should be formally reviewed by the project lead.",Preventive,Requirements Developments
the developer writing the code should do a self code review of all possible criteria.,Preventive,Technical Solution
secondary code reviews by the peers or by the lead to be mandated.,Preventive,Validation
the design perspective of each requirement should be understood and dependencies with external interfaces should be taken care.,Preventive,Requirements Developments
"formal design review with key technical members of the project, interface teams, vendors (if any), system and database administrators should be mandated before proceeding with the coding phase.",Preventive,Technical Solution
"the technical lead responsible for design should have overall knowledge about the project functionalities, technical implementation, system environment, deployment challenges, etc. to design a perfect solution for the project.",Preventive,Technical Solution
"all negative scenarios and input of negative values should be handled in the source code. so, developer should document all such negative cases in the program specification and it should be reviewed by the technical lead for completeness.",Preventive,Technical Solution
a general list of negative cases to be handled should be included as a part of the design document.,Preventive,Technical Solution
"it is just not enough for the developer to understand his/her own code related functionality, but a knowledge on the overall project is essential to avoid such defects.",Preventive,Technical Solution
"shared source code / common routine in the project has to be discussed, documented in detail and should be agreed between the stakeholders involved in integration. a final approved document on common routines is a must",Preventive,Technical Solution
the document on workflow sequence should be written and agreed in the design phase.,Preventive,Technical Solution
scenarios that may have a sequential execution must be well documented with sample use cases.,Preventive,Technical Solution
"before starting the actual coding, a prototype of the application should be built to finalize on the look and feel of the application",Preventive,Technical Solution
screens of the prototype can be embedded in the design document to understand the application better.,Preventive,Technical Solution
senior technical developer along with the team can work in parallel with the technical lead to assist him in bringing such add on features in the design document.,Preventive,Technical Solution
"scenarios on page reload, browser compatibility, etc can be referred from the knowledge base of the similar successfully implemented projects and this has to be documented in the design document for the project.",Preventive,Technical Solution
program language support for various input devices has to be analyzed and documented in the design manual.,Preventive,Technical Solution
"as a part of the requirement capture, details on the input devices to be supported should be well documented",Preventive,Requirements Developments
assess and monitor the maintenance process,Enhancement,Project Monitoring and Control
control variation in coding and code review processes,Enhancement,Organizational Process Focus
"estimate and control defects, effort and schedule of testing process",Enhancement,Project Monitoring and Control
evaluate process quality effectiveness,Enhancement,Process and Product Quality Assurance
evaluate defect-detection effectiveness,Enhancement,Process and Product Quality Assurance
evaluate inspection effectiveness,Enhancement,Process and Product Quality Assurance
evaluate peer review effectiveness,Enhancement,Process and Product Quality Assurance
manage effectiveness of defect removal activities,Enhancement,Process and Product Quality Assurance
improve product quality,Enhancement,Process and Product Quality Assurance
improve defect detection to reduce the number of delivered defects,Enhancement,Process and Product Quality Assurance
improve software process effectiveness,Enhancement,Organizational Process Focus
improve software reliability,Enhancement,Process and Product Quality Assurance
increase customer satisfaction (by managing defects),Enhancement,Verification
manage defect injection distribution in different kinds of activities,Enhancement,Process and Product Quality Assurance
reduce defects in the products,Enhancement,Process and Product Quality Assurance
reduce injected defect,Enhancement,Process and Product Quality Assurance
reduce requirements volatility,Enhancement,Process and Product Quality Assurance
understand and predict product quality,Enhancement,Process and Product Quality Assurance
verify quality goals achievement,Enhancement,Process and Product Quality Assurance
improve review process,Enhancement,Organizational Process Focus
understand and predict inspection process,Enhancement,Organizational Process Focus
manage system-testing activity,Enhancement,Validation
monitor process efficiency,Enhancement,Organizational Process Performance
evaluate coding efficiency,Enhancement,Organizational Process Performance
evaluate defect-fixing efficiency,Enhancement,Organizational Process Performance
evaluate design efficiency,Enhancement,Organizational Process Performance
evaluate testing efficiency,Enhancement,Organizational Process Performance
reduce operational costs,Enhancement,Integrated Project Management
improve productivity,Enhancement,Organizational Process Focus
minimize rework,Enhancement,Organizational Process Focus
monitor project cost and schedule,Enhancement,Integrated Project Management
reduce cost due to poor quality performance,Enhancement,Process and Product Quality Assurance
improve estimation and planning,Enhancement,Project Planning
understand software processes performance,Enhancement,Organizational Process Performance
understand fixing process performance,Enhancement,Organizational Process Performance
understand review process performance,Enhancement,Organizational Process Performance
understand project management process performance,Enhancement,Organizational Process Performance
understand recruitment process performance,Enhancement,Organizational Process Performance
understand test process performance,Enhancement,Organizational Process Performance
understand the effect of reviews as verification activities in test,Enhancement,Verification
understand the effect of test design in test development,Enhancement,Validation
understand the relationship between productivity and quality assurance activities during test development,Enhancement,Process and Product Quality Assurance
verify changes in test process,Enhancement,Validation
win the market competition,Enhancement,Organizational Innovation and Deployment
monitor defects index,Enhancement,Project Monitoring and Control
monitor process performance,Enhancement,Project Monitoring and Control
monitor process quality,Enhancement,Project Monitoring and Control
ask pos to start to regularly participate in sprint planning activities,Corrective,Integrated Project Management
conduct po meetings,Corrective,Integrated Project Management
emphasize on frequent communication among stakeholders (developers and pos),Corrective,Project Monitoring and Control
provide clearly communicated priorities,Corrective,Requirements Developments
hire pos with technical background,Corrective,Integrated Project Management
increase the number of pos,Corrective,Integrated Project Management
emphasize on po pairwork,Corrective,Integrated Project Management
ask pos to increase their mutual collaboration during the development sprints,Corrective,Integrated Project Management
emphasize on mitigating the lack of information flow or collaboration between the sales & requirements and development work,Corrective,Organizational Process Definition
emphasize on collaboration practices and following the development process,Corrective,Integrated Project Management
hire on-site customer representatives,Corrective,Integrated Project Management
"emphasize on mitigating the lack of instructions and experience, and the complexity of the existing product",Corrective,Organizational Training
ask pos to participate in the teams’ daily stand-up meetings,Corrective,Integrated Project Management
hire a po team,Corrective,Integrated Project Management
hire an team internal coordinator if an on-site po not available,Corrective,Integrated Project Management
the organization can hire two new employees to work with the requirements specifications and usability designs,Corrective,Integrated Project Management
apply wideband delphi estimation method,Corrective,Integrated Project Management
"add time/tasks for design, then implementation will be more straightforward",Corrective,Integrated Project Management
stick to the time-boxed values and do not accept more stories,Corrective,Integrated Project Management
average story points from 10 sprints,Corrective,Integrated Project Management
estimate bigger numbers and/or accept less,Corrective,Integrated Project Management
follow kanban-style dev,Corrective,Integrated Project Management
budget time for doing prototypes,Corrective,Integrated Project Management
familiarising (developers) with the stories beforehand,Corrective,Integrated Project Management
factor the uncertainty factor into the time estimation,Corrective,Integrated Project Management
develop more clear requirements,Corrective,Integrated Project Management
monitor the time that you spend and learn from your own estimates,Corrective,Integrated Project Management
"when getting a new large story, allocate design and analysis story for the sprint",Corrective,Integrated Project Management
make dedicated investigation task for features planned in next sprint,Corrective,Integrated Project Management
estimation should be added on getting familiar with the project/component,Corrective,Integrated Project Management
those who know about the area of the story should tell about the work that is needed,Corrective,Integrated Project Management
include realistic amount of work in the sprint and leave some time to settle quality debt,Corrective,Integrated Project Management
use previous sprint as a reference of how much story points we can handle,Corrective,Integrated Project Management
enforce check-style on commit,Corrective,Integrated Project Management
enforce the check-style checks before commit: add the plugin to the development tool,Corrective,Integrated Project Management
reserve more time for testing when implementing new features,Corrective,Integrated Project Management
fixing debt about param < component > verification,Corrective,Integrated Project Management
developer should reserve more time for testing and be more careful with it,Corrective,Integrated Project Management
remember to test all x methods/apis that are related to your changes,Corrective,Integrated Project Management
"test, test, test..",Corrective,Integrated Project Management
test the issue in the actual application at least once,Corrective,Integrated Project Management
testing in different environment: make testing in local environment and then in dev-test,Corrective,Integrated Project Management
more testing: the bigger the story is the more testing is required,Corrective,Integrated Project Management
use cases: a better understanding what is asked and what is needed to be achieved,Corrective,Integrated Project Management
create uml diagrams from source code to pin-point problems and design,Corrective,Integrated Project Management
architecture spec is missing and needs to be made,Corrective,Integrated Project Management
add system overview descriptions/depictions to intranet,Corrective,Integrated Project Management
add stories to current sprint to add missing design document,Corrective,Integrated Project Management
add javadoc tags wherever they are missing,Corrective,Integrated Project Management
"fast diagrams: draw diagrams on whiteboard, take picture and attach it to story",Corrective,Integrated Project Management
train developers to understand the requirement errors,Preventive,Requirements Developments
